wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_amount,first_tx,last_tx,unique_assets,score
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,1,0,0,1,0,112092343527428.52,1622644687,1623999030,2,530
0x000f4432a40560bbff1b581a8b7aded8dab80026,7,6,3,9,0,916672306686400.5,1619465677,1621033345,4,610
0x000f7f22bfc28d940d4b68e13213ab17cf107790,26,19,13,15,0,1.50210180878499e+20,1619206675,1619450928,5,650
0x000f908720f9ce164d90f4fc89459fab4442907f,32,30,17,17,0,4646538410248442.0,1623475570,1623592531,2,620
0x000fbfec300959d0f2f327728a889c1f5de8e2df,3,1,1,3,0,1223282264572785.8,1625412745,1626107012,2,550
0x0011730224657eb527cf736039854c3a3f140e63,1,1,1,1,0,1.0478e+16,1618849121,1618849259,2,530
0x00120ea6fdbaf057eadc1bd149f957488444e92c,2,1,1,0,0,236759895699127.94,1625501389,1625506105,2,540
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,0,0,0,0,3000000000000.0,1626596344,1626836136,1,530
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,101,24,93,11,2,1.735257990093572e+16,1621113983,1626471036,6,590
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0,0,0,1,0,5000954281.830769,1626190751,1626190751,1,510
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,0,0,0,0,92600000000.0,1622111460,1622111460,1,520
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,0,0,0,0,2.455392,1626568729,1627095273,1,530
0x0014dfac19477a83d7354e6eaac28642c1959398,10,6,9,11,0,339869397948920.56,1621622844,1624231483,3,630
0x001589fe1923c2118f34e4277f2ef650fcbf0161,19,2,0,9,0,7256240719456009.0,1618943684,1630415434,5,650
0x00159370cbe576b765a7fb2e78582e0cb563d445,10,7,0,2,0,2986625430944594.5,1628500155,1630299760,5,650
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,1,0,0,1,0,28.254528,1622138895,1622140653,1,520
0x0016469a65facda9e86fd0ae0e9661128843c224,1,1,0,0,0,27100000000.0,1620615531,1620615531,1,520
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,0,0,0,0,96300000000.0,1622095387,1622095387,1,520
0x00183135585d70a523d61b2e43037a7138b36906,15,13,10,16,0,3595417828344363.0,1625101762,1630038823,6,650
0x00184e8aa1e95f491f2d9601e12b540092160ded,1,1,1,1,0,326700000000000.0,1618391523,1618391595,2,530
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,0,0,0,0,260000000.00046033,1620571652,1622489320,3,630
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,0,0,0,0,2.2,1626281917,1626753569,1,530
0x0018d044b946ede86b43bb3b964a45772a5abeb9,9,2,2,9,0,29416040342014.43,1623996770,1628601325,3,620
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0,1,2,2,0,187368668395485.34,1624037278,1625265329,3,530
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,0,0,0,0,100000000000.0,1621828078,1621828078,1,520
0x001b024b98ee862aa01eea595c4c16a0213d2611,1,1,0,0,0,411897656335.2786,1618217112,1618217236,2,530
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,10,6,7,9,0,39147130995675.0,1622713661,1624707727,3,630
0x001bc97d92e1a30b02d4e75be25f06063555d556,12,10,9,14,0,2.1403024302392413e+17,1623254837,1624078590,4,640
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,0,0,0,0,6240750099.327031,1626653388,1628439978,2,540
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,0,0,0,0,2000000000000.0098,1626144348,1626982308,2,540
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,0,0,0,0,6461144026.105417,1626856437,1626856437,1,520
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,0,0,0,0,1.109087,1627063469,1627063469,1,520
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,0,0,0,0,0.018485,1626721307,1626721307,1,520
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,5,0,0,1,0,1218900412657474.8,1623996456,1629893966,2,570
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,0,0,0,0,0.023783,1626677429,1626677429,1,520
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0,0,0,1,0,2012030.94263,1627355152,1627355152,1,510
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,0,0,0,0,1135240588968.5977,1626181219,1626709719,2,540
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,0,0,0,0,4440486156.185637,1626690455,1626690455,1,520
0x002379916ac42a432f3b53f16782d33267debb4c,1,0,0,0,0,1500000000000.0,1626657568,1626657568,1,520
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,0,0,0,0,2.2,1626281963,1626753577,1,530
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,0,0,0,0,14.997724,1626662067,1626662141,1,530
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,0,0,0,0,4.999194,1626701595,1626701595,1,520
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,0,0,0,0,12625001510.457943,1626631905,1626719547,1,530
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0,0,0,1,0,1012.775168,1628416365,1628416365,1,510
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,0,0,0,0,25000000000.0,1624733104,1624733104,1,520
0x00246f7813397868b1beec56e1677efa47816dae,30,9,2,3,0,1.0792894939202138e+16,1622447007,1624263724,1,610
0x0025a856d01a898bd52286d56c52323b13937b65,1,0,0,0,0,100000000000.0,1621849897,1621849897,1,520
0x00261d225db379b3fc74cd0228d6f90582d39035,1,1,0,0,0,39200000000.0,1620731387,1620731387,1,520
0x00262ffcfda82b5582d1905ca05b849f196b0419,4,3,1,2,0,316.51425200000006,1623431571,1623756471,2,560
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,0,0,0,0,450246121.481307,1621965973,1621965973,1,520
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,0,0,0,0,1.851978,1627103795,1627103795,1,520
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,0,0,0,0,97000000000.0,1622078807,1622078807,1,520
0x002775390698ef16589bb22bba37ae7906ae2f36,17,7,5,1,0,152793211818964.78,1623140063,1624890887,5,650
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,0,0,0,0,1.880888,1627216826,1627216826,1,520
0x0027f7335d610f15b325baa5798414548720fcaa,6,2,2,3,0,200552774659.90924,1630270928,1630387748,2,580
0x00283b611db7844cb5677b311afd67c8e3078518,1,0,0,0,0,7.200645,1627231773,1627231773,1,520
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,0,0,0,0,47200000000.0,1620266958,1620266958,1,520
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,0,0,0,0,2600000000000.0,1626376552,1626697492,1,530
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,0,0,0,0,1.107978,1627109903,1627109903,1,520
0x002aea16059a7d4bef638a03b61a9e80ef07e745,12,10,5,14,0,4560444124213382.0,1619974774,1627116599,6,650
0x002bb13a55bf4525f02717708dd4534ecc475193,2,0,0,0,0,3.1451770000000003,1626668847,1626668915,1,530
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,0,0,0,0,1.15122,1626686226,1626686226,1,520
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,2,1,1,1,0,1000000000015.7205,1617954913,1619512240,2,540
0x002d2715b179d0db3e17cc28317a98f2f65e6884,98,64,38,53,0,1.6011789133329392e+17,1617981693,1626784655,8,650
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,0,0,0,0,4674990964.187967,1626800174,1626800174,1,520
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,5,5,16,3,0,1.5200000000007884e+16,1618617657,1629741264,4,590
0x002de04d579930686698abab5f48bda0b24fb9fc,32,13,15,25,0,9579371025942374.0,1623480242,1630421267,7,650
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,1,1,1,1,0,4.7914e+16,1618820622,1618820754,2,530
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,1,0,0,5,0,85081632513345.2,1622926927,1629143212,3,540
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,0,0,0,0,0.012183,1626479749,1626479749,1,520
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,61,26,12,9,0,5781978969252051.0,1621161449,1630250383,6,650
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0,0,0,2,0,44842.195767,1625321380,1625321626,2,520
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,35,23,0,0,0,1.4597786848117414e+16,1627077533,1630591831,6,650
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,0,0,0,0,6764030347.976762,1626943738,1626943738,1,520
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1,0,0,2,0,394.981473,1627131723,1630009723,1,520
0x003094a91a3b5523bc601b221f80183bd347e9ae,2,0,0,0,0,2.2,1626281937,1626753571,1,530
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,0,0,0,0,165694780.930095,1626184221,1626184221,1,520
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,37,11,11,8,0,2.9717156799590784e+17,1623996694,1630316254,6,650
